面料编号,面料名称,面料图片,品类,供应商,成分描述,涤纶 %,棉 %,氨纶 %,再生纤维 %,其他成分,幅宽 cm,克重 g/㎡,结构/织法,后整理,阻燃等级,RMB 价格 元/m,FOB 价格 USD/m,起订量 MOQ,适用季节,推荐款式,特性标签,卖点文案,相似款链接,备注,__来源文件,__来源行号,__导入时间
SKDSY25361,人字纹提花布,,针织,常熟市华瑞针纺织,100%涤纶,100.0,,,,,,320,,,,,,,秋;冬,秋冬休闲外套;工装裤;半身裙;家居软装,保暖,,,,面料推荐档案\面料推荐\华瑞针织面料汇总表.xlsx,13,
SKDSY26-25176,粗细针（红色款）,,针织,常熟市华瑞针纺织,100%涤纶,100.0,,,,,,470,,,,,,,秋;冬,秋冬厚款毛衣;外套;保暖裤,保暖,,,,面料推荐档案\面料推荐\华瑞针织面料汇总表.xlsx,14,
SKD25249,粗细针（橙色款）,,针织,常熟市华瑞针纺织,100%涤纶,100.0,,,,,,305,,,,,,,秋;冬,秋冬休闲外套;卫衣;工装裤,保暖,,,,面料推荐档案\面料推荐\华瑞针织面料汇总表.xlsx,15,
SKDL26044,粗细针（全棉款）,,针织,常熟市华瑞针纺织,100%棉,,100.0,,,,,370,,,,,,,秋;冬,秋冬厚款毛衣;针织开衫;休闲外套,保暖,,,,面料推荐档案\面料推荐\华瑞针织面料汇总表.xlsx,16,
SYY23381,双色一体绒,,针织,常熟市华瑞针纺织,100%涤纶,100.0,,,,,,310,,,,,,,秋;冬,秋冬保暖外套;卫衣;休闲裤,保暖,,,,面料推荐档案\面料推荐\华瑞针织面料汇总表.xlsx,17,
SKDY23-19558F11,彩条弹力棉毛布,,针织,常熟市华瑞针纺织,88%涤纶 + 12%氨纶,88.0,,12.0,,,,270,,,,,,,秋;冬,秋冬保暖内衣;家居服;打底衫,弹力,,,,面料推荐档案\面料推荐\华瑞针织面料汇总表.xlsx,18,
SKDSY25383,双面仿羊羔绒,,针织,常熟市华瑞针纺织,100%涤纶,100.0,,,,,,400,,,,,,,秋;冬,秋冬厚款外套;大衣;卫衣;毛毯,保暖,,,,面料推荐档案\面料推荐\华瑞针织面料汇总表.xlsx,19,
SKDL26-25030,RE单面仿羊羔绒,,针织,常熟市华瑞针纺织,100%再生涤,,,,100.0,,,285,,,,,,,秋;冬,春秋款卫衣;休闲外套;家居服,再生环保,,,,面料推荐档案\面料推荐\华瑞针织面料汇总表.xlsx,20,
SKDY22011,氨纶方格摇粒绒,,针织,常熟市华瑞针纺织,94%涤纶 + 6%氨纶,94.0,,6.0,,,,175,,,,,,,秋;冬,春秋卫衣;休闲外套;家居服,弹力;透气,,,,面料推荐档案\面料推荐\华瑞针织面料汇总表.xlsx,21,
ZT24-NL082-NL,小横条四面弹,,机织,中涛三时,92% NYLON、8% SP,,,8.0,,nylon 92.0%,146.1,138,70D+40D*70D+40D,P/D（染色后处理）,,17.2,,,秋;冬,裤料;外套,透气,,,,面料推荐档案\面料推荐\中涛 三时.xlsx,2,
ZT24-NI.044-NL,碧螺纺,,机织,中涛三时,100% NYLON,,,,,nylon 100.0%,143.5,39,216×190/20D*20D,P/D（染色后处理）,,14.3,,,春;夏,皮肤衣;防晒衣,透气,,,,面料推荐档案\面料推荐\中涛 三时.xlsx,3,
ZT24-NL046-NL,50D消光尼龙四面弹,,机织,中涛三时,90% NYLON、10% SP,,,10.0,,nylon 90.0%,146.1,100,50D+20D*50D+20D,P/D（染色后处理）,,19.6,,,春;夏,裤料;防晒衣,透气,,,,面料推荐档案\面料推荐\中涛 三时.xlsx,4,
ZT24-SP103-SP,可降解四面弹,,机织,中涛三时,92% POLYESTER（可降解）、8% SP,92.0,,8.0,,,141.0,142,100D+40D*100D+40D,P/D（染色后处理）,,15.2,,,秋;冬,裤料;外套;衬衫,透气,,,,面料推荐档案\面料推荐\中涛 三时.xlsx,5,
ZT24-SP137-SP,菱形格,,机织,中涛三时,100% POLYESTER,100.0,,,,,146.1,144,75D*75DT8+150D DTY,P/D（染色后处理）,,17.4,,,秋;冬,外套;裤料;棉衣,透气,,,,面料推荐档案\面料推荐\中涛 三时.xlsx,6,
ZT24-SP033-SP,弹力酷丝棉,,机织,中涛三时,100% POLYESTER,100.0,,,,,146.1,174,127×91/40S*40S,P/D（染色后处理）,,12.6,,,秋;冬,裤料;外套;夹克,透气,,,,面料推荐档案\面料推荐\中涛 三时.xlsx,7,
ZT24-NL007-NL,尼龙双层变斜四面弹,,机织,中涛三时,88% NYLON、12% SP,,,12.0,,nylon 88.0%,148.6,221,70D+40D*70D+40D,P/D（染色后处理）,,29,,,春;夏;秋,裤料;西装套装,挺括,,,,面料推荐档案\面料推荐\中涛 三时.xlsx,8,
ZT24-NL009-NL,消光斜纹尼龙长丝四面弹,,机织,中涛三时,87% NYLON、13% SP,,,13.0,,nylon 87.0%,146.1,146,70D+40D*70D+40D,P/D（染色后处理）,,22.2,,,春;夏,裤料,透气,,,,面料推荐档案\面料推荐\中涛 三时.xlsx,9,
ZT24-SP146-SP,面包格,,机织,中涛三时,100% POLYESTER,100.0,,,,,146.1,124,50D*50DT8+50D,P/D（染色后处理）,,14.2,,,秋;冬,棉衣;外套;衬衫,透气,,,,面料推荐档案\面料推荐\中涛 三时.xlsx,10,
ZT24-SP026-SP,空变链条格,,机织,中涛三时,100% POLYESTER,100.0,,,,,146.1,129,90D*75DT8+150D,P/D（染色后处理）,,12.9,,,秋;冬,裤料;外套,透气,,,,面料推荐档案\面料推荐\中涛 三时.xlsx,11,
ZT24-NL004-01,尼龙加捻四面弹,,机织,中涛三时,90% NYLON、10% SP,,,10.0,,nylon 90.0%,148.6,142,70D+40D*70D+40D,P/D（染色后处理）,,14.9,,,秋;冬,裤料;外套;衬衫,透气,,,,面料推荐档案\面料推荐\中涛 三时.xlsx,12,
ZT24-SP010-SP,消光斜纹四面弹（骑兵斜）,,机织,中涛三时,88% POLYESTER、12% SP,88.0,,12.0,,,146.1,160,75D+40D*75D+40D,P/D（染色后处理）,,14.8,,,秋;冬,裤料;外套;夹克,透气,,,,面料推荐档案\面料推荐\中涛 三时.xlsx,13,
ZT24-SP007-SP,200D格子四面弹,,机织,中涛三时,95% POLYESTER、5% SP,95.0,,5.0,,,146.1,262,200D+40D*200D+40D,P/D（染色后处理）+飘纱,,14.6,,,春;夏;秋,冲锋衣,挺括,,,,面料推荐档案\面料推荐\中涛 三时.xlsx,14,
ZT24-0X008-0X,消光超高弹四面弹,,机织,中涛三时,100% POLYESTER,100.0,,,,,146.1,202,75D+75D*75D+75D,P/D（染色后处理）+3K*5K,,17.6,,,春;夏;秋,冲锋衣,挺括,,,,面料推荐档案\面料推荐\中涛 三时.xlsx,15,
ZT24-ME001-ME,可降解真记忆,,机织,中涛三时,100% POLYESTER（可降解）,100.0,,,,,146.1,110,0.0x0.0x57/58/75D*75D,P/D（染色后处理）,,30.8,,,秋;冬,外套;夹克,透气,,,,面料推荐档案\面料推荐\中涛 三时.xlsx,16,
ZT24-0X003-0X,加密消光牛津布,,机织,中涛三时,100% POLYESTER,100.0,,,,,148.6,173,150D*150D/2,P/D（染色后处理）+白膜,,10.7,,,春;夏,冲锋衣,透气,,,,面料推荐档案\面料推荐\中涛 三时.xlsx,17,
ZT24-PK001-PK,可降解加密锦涤缎桃,,机织,中涛三时,92% POLYESTER（可降解）、8% NYLON,92.0,,,,nylon 8.0%,146.1,145,75D*160D,P/D（染色后处理）,,10.6,,,秋;冬,棉衣;外套,透气,,,,面料推荐档案\面料推荐\中涛 三时.xlsx,18,
ZT24-PT001-PT,420T涤丝纺,,机织,中涛三时,100% POLYESTER,100.0,,,,,146.1,50,25D*25D,P/D（染色后处理）,,12.6,,,春;夏,棉衣;羽绒服,透气,,,,面料推荐档案\面料推荐\中涛 三时.xlsx,19,
ZT24-0X006-0X,斜纹呢,,机织,中涛三时,100% POLYESTER,100.0,,,,,146.1,202,122×89/150D*150D,P/D（染色后处理）+高透白0.02彩膜,,15.9,,,春;夏;秋,冲锋衣,挺括,,,,面料推荐档案\面料推荐\中涛 三时.xlsx,20,
ZT24-NI.023-NI,氨耐格,,机织,中涛三时,85% NYLON、15% SP,,,15.0,,nylon 85.0%,143.5,98,228×147/30D+20D*35D+20D,P/D（染色后处理）+纱线抗UV,,21.8,,,春;夏,皮肤衣;防晒衣,透气,,,,面料推荐档案\面料推荐\中涛 三时.xlsx,21,
ZT24-SP001-SP,涤锦四面弹,,机织,中涛三时,80% POLYESTER、20% NYLON,80.0,,,,nylon 20.0%,146.1,156,75D+40D*75D+40D,P/D（染色后处理）,,16.7,,,秋;冬,裤料;外套,透气,,,,面料推荐档案\面料推荐\中涛 三时.xlsx,22,
ZT24-SP045-SP,提花格子,,机织,中涛三时,100% POLYESTER,100.0,,,,,146.1,136,100D*100DT8+150D,P/D（染色后处理）,,12.4,,,秋;冬,裤料;外套;衬衫,透气,,,,面料推荐档案\面料推荐\中涛 三时.xlsx,23,
ZT24-NL021-NL,高弹尼龙平纹,,机织,中涛三时,95% NYLON、5% SP,,,5.0,,nylon 95.0%,146.1,92,50D+20D*50D+20D,P/D（染色后处理）,,19.8,,,秋;冬,裤料;外套,透气,,,,面料推荐档案\面料推荐\中涛 三时.xlsx,24,
ZT24-SP068-SP,磨毛四面弹,,机织,中涛三时,100% POLYESTER,100.0,,,,,146.1,188,150D+40D*150D+40D,P/D（染色后处理）+磨毛,,14.6,,,秋;冬,裤料;外套,透气,,,,面料推荐档案\面料推荐\中涛 三时.xlsx,25,
ZT24-NL035-NL,防泼水尼龙四面弹,,机织,中涛三时,90% NYLON、10% SP,,,10.0,,nylon 90.0%,146.1,148,70D+40D*70D+40D,P/D（染色后处理）+防泼水,,16.5,,,秋;冬,裤料;外套,透气,,,,面料推荐档案\面料推荐\中涛 三时.xlsx,26,
ZT24-SP089-SP,蜂巢格,,机织,中涛三时,100% POLYESTER,100.0,,,,,146.1,128,75D*75DT8+100D,P/D（染色后处理）,,13.6,,,春;夏,裤料;套装,透气,,,,面料推荐档案\面料推荐\中涛 三时.xlsx,27,
ZT24-NL056-NL,抗静电尼龙斜纹,,机织,中涛三时,85% NYLON、15% SP,,,15.0,,nylon 85.0%,146.1,152,70D+40D*70D+40D,P/D（染色后处理）+抗静电,,17.9,,,秋;冬,裤料;套装;夹克,透气,,,,面料推荐档案\面料推荐\中涛 三时.xlsx,28,
1,编织纹 PU,,PU 绒,万泰,,,,,,,,,,,,,,,春;夏,立体交叉藤编编织纹,透气,,,立体交叉藤编编织纹,面料推荐档案\面料推荐\万泰推荐面料.xlsx,2,
2,S 型冲孔透气 PU,,PU 绒,万泰,,,,,,,,,,,,,,,春;夏,S 形错位镂空打孔,透气,,,S 形错位镂空打孔,面料推荐档案\面料推荐\万泰推荐面料.xlsx,3,
3,细条仿麂 PU,,PU 绒,万泰,,,,,,,,,,,,,,,春;夏,等距平行细沟槽横纹,透气,,,等距平行细沟槽横纹,面料推荐档案\面料推荐\万泰推荐面料.xlsx,4,
4,素面超纤麂皮,,PU 绒,万泰,,,,,,,,,,,,,,,春;夏,平整无纹路短绒麂面,透气,,,平整无纹路短绒麂面,面料推荐档案\面料推荐\万泰推荐面料.xlsx,5,
5,十字星压纹 PU,,PU 绒,万泰,,,,,,,,,,,,,,,春;夏,规律十字星凹凸压点,透气,,,规律十字星凹凸压点,面料推荐档案\面料推荐\万泰推荐面料.xlsx,6,
6,绳绣树叶麂皮,,PU 绒,万泰,,,,,,,,,,,,,,,春;夏,立体粗绳刺绣枝叶纹,透气,,,立体粗绳刺绣枝叶纹,面料推荐档案\面料推荐\万泰推荐面料.xlsx,7,
7,龟裂碎石纹 PU,,PU 绒,万泰,,,,,,,,,,,,,,,春;夏,不规则多边仿古龟裂纹,透气,,,不规则多边仿古龟裂纹,面料推荐档案\面料推荐\万泰推荐面料.xlsx,8,
8,水珠凸点 PU,,PU 绒,万泰,,,,,,,,,,,,,,,春;夏,不规则立体半圆水珠凸粒,透气,,,不规则立体半圆水珠凸粒,面料推荐档案\面料推荐\万泰推荐面料.xlsx,9,
9,复古碎花印花 PU,,PU 绒,万泰,,,,,,,,,,,,,,,春;夏,满版藤蔓小碎花数码印花,透气,,,满版藤蔓小碎花数码印花,面料推荐档案\面料推荐\万泰推荐面料.xlsx,10,
10,菱形仿编 PU,,PU 绒,万泰,,,,,,,,,,,,,,,春;夏,斜向规整凹凸菱形格纹,透气,,,斜向规整凹凸菱形格纹,面料推荐档案\面料推荐\万泰推荐面料.xlsx,11,
11,细密小荔枝纹 PU,,PU 绒,万泰,,,,,,,,,,,,,,,春;夏,均匀细密小圆荔枝颗粒,透气,,,均匀细密小圆荔枝颗粒,面料推荐档案\面料推荐\万泰推荐面料.xlsx,12,
12,黑底擦金爆裂油皮,,PU 绒,万泰,,,,,,,,,,,,,,,春;夏,大面积不规则自然龟裂裂纹,透气,,,大面积不规则自然龟裂裂纹,面料推荐档案\面料推荐\万泰推荐面料.xlsx,13,
13,酒红抓皱擦金油皮,,PU 绒,万泰,,,,,,,,,,,,,,,春;夏,不规则手工抓皱交错细纹,透气,,,不规则手工抓皱交错细纹,面料推荐档案\面料推荐\万泰推荐面料.xlsx,14,
14,渐变蛇鳞纹 PU,,PU 绒,万泰,,,,,,,,,,,,,,,春;夏,圆弧连片鱼鳞蛇鳞凹凸纹,透气,,,圆弧连片鱼鳞蛇鳞凹凸纹,面料推荐档案\面料推荐\万泰推荐面料.xlsx,15,
15,黑擦金竹节大鳄鱼纹,,PU 绒,万泰,,,,,,,,,,,,,,,春;夏,分段竹节大鳄鱼肚皮鳞纹,透气,,,分段竹节大鳄鱼肚皮鳞纹,面料推荐档案\面料推荐\万泰推荐面料.xlsx,16,
16,竖条镜面拉丝 PU,,PU 绒,万泰,,,,,,,,,,,,,,,春;夏,平行凹凸亮面拉丝竖条纹,透气,,,平行凹凸亮面拉丝竖条纹,面料推荐档案\面料推荐\万泰推荐面料.xlsx,17,
17,双色棋盘格 PU,,PU 绒,万泰,,,,,,,,,,,,,,,春;夏,规整正方撞色棋盘格压纹,透气,,,规整正方撞色棋盘格压纹,面料推荐档案\面料推荐\万泰推荐面料.xlsx,18,
18,灰调细碎小蛇纹,,PU 绒,万泰,,,,,,,,,,,,,,,春;夏,细密错落渐变小蛇鳞凹凸纹,透气,,,细密错落渐变小蛇鳞凹凸纹,面料推荐档案\面料推荐\万泰推荐面料.xlsx,19,
7,Sandwich FR PFPF both sides,,家纺,杭州辦事處,"57% PES / 3% Acrylic, 320gsm, white",57.0,,,,acrylic 3.0%,280.0,,,,"EN13773, Class I",,,,春;夏,,透气,,,熱切邊,面料推荐档案\家纺\260407 收到面料.xlsx,2,
6,Sandwich  FARO FR PFPF both sides,,家纺,杭州辦事處,"50% Polyester / 50% Acrylic coating, 370gsm, white",50.0,,,,acrylic 50.0%,280.0,,,,"EN13773, Class I",,,,春;夏,,透气,,,熱切邊,面料推荐档案\家纺\260407 收到面料.xlsx,3,
4,8948 FR,,家纺,杭州辦事處,"100% PES linen like, 136gsm",100.0,,,,,280.0,,,,"EN13773, Class I",,,,春;夏,,透气,,,熱切邊,面料推荐档案\家纺\260407 收到面料.xlsx,4,
8,SENA FR,,家纺,杭州辦事處,"100% PES, 120gsm, bone white",100.0,,,,,280.0,,,,"EN13773, Class I",,,,春;夏,,透气,,,熱切邊,面料推荐档案\家纺\260407 收到面料.xlsx,5,
9,Cerdena 323 FR,,家纺,杭州辦事處,"100% PES, 113gsm, bone white",100.0,,,,,280.0,,,,"EN13773, Class I",,,,春;夏,,透气,,,熱切邊,面料推荐档案\家纺\260407 收到面料.xlsx,6,
5,Jucar FR 16736,,家纺,杭州辦事處,"100% PES , 355gsm",100.0,,,,,280.0,,,,"EN13773, Class I",,,,春;夏,,透气,,,熱切邊,面料推荐档案\家纺\260407 收到面料.xlsx,7,
3,Jucar 16635,,家纺,杭州辦事處,"100% PES, weight 355gsm",100.0,,,,,280.0,,,,,,,,春;夏,,透气,,,熱切邊,面料推荐档案\家纺\260407 收到面料.xlsx,8,
2,KYRIOS 09,,家纺,杭州辦事處,"100% PES, 290gsm",100.0,,,,,280.0,,,,,,,,春;夏,,透气,,,熱切邊,面料推荐档案\家纺\260407 收到面料.xlsx,9,
1,PERONI 06,,家纺,杭州辦事處,"100% PES, 290gsm",100.0,,,,,280.0,,,,,,,,春;夏,,透气,,,熱切邊,面料推荐档案\家纺\260407 收到面料.xlsx,10,
1,粘胶复合烫印面料,,针织,,49%粘胶纤维48%聚酯3%弹性纤维,48.0,,3.0,,rayon 49.0%,,190.0,,,,,,,春;夏,,弹力;透气,,,,面料推荐档案\家纺\3S-AVVA_针织面料报价单_多供应商版_新增网址.xlsx,,
2,Modal面料T恤面料,,针织,,79%莫代尔21%涤纶,21.0,,,,modal 79.0%,,170.0,,,,,,,春;夏,,透气;亲肤,,,,面料推荐档案\家纺\3S-AVVA_针织面料报价单_多供应商版_新增网址.xlsx,,
3,互锁柔软面料,,针织,,涤纶粘胶混纺,,,,,,,180.0,,,,,,,春;夏,,透气,,,,面料推荐档案\家纺\3S-AVVA_针织面料报价单_多供应商版_新增网址.xlsx,,
4,透气防汗T恤面料,,针织,,50%莫达尔50%棉,,50.0,,,modal 50.0%,,170.0,,,,,,,春;夏,,透气,,,,面料推荐档案\家纺\3S-AVVA_针织面料报价单_多供应商版_新增网址.xlsx,,
5,粘胶混纺面料,,针织,,49%人棉48%涤纶3%氨纶,48.0,,3.0,,rayon 49.0%,,180.0,,,,,,,春;夏,,弹力;透气,,,,面料推荐档案\家纺\3S-AVVA_针织面料报价单_多供应商版_新增网址.xlsx,,
6,反光文字细节面料,,针织,,49%聚酯46%粘胶纤维5%弹性烷,49.0,,5.0,,rayon 46.0%,,190.0,,,,,,,春;夏,,弹力;透气,,,,面料推荐档案\家纺\3S-AVVA_针织面料报价单_多供应商版_新增网址.xlsx,,
7,Appé领亚麻混纺面料,,针织,,棉+亚麻混纺,,,,,,,160.0,,,,,,,春;夏,,透气,,,,面料推荐档案\家纺\3S-AVVA_针织面料报价单_多供应商版_新增网址.xlsx,,
8,网眼针织布,,针织,,50%棉50%涤,,50.0,,,涤 50.0%,,150.0,,,,,,,春;夏,,透气,,,,面料推荐档案\家纺\3S-AVVA_针织面料报价单_多供应商版_新增网址.xlsx,,
9,美国Pique纯棉面料,,针织,,100%纯棉,,,,,纯棉 100.0%,,190.0,,,,,,,春;夏,,透气,,,,面料推荐档案\家纺\3S-AVVA_针织面料报价单_多供应商版_新增网址.xlsx,,
10,珠地网眼Polo面料,,针织,,纯棉珠地网眼,,,,,,,200.0,,,,,,,春;夏;秋,,挺括,,,,面料推荐档案\家纺\3S-AVVA_针织面料报价单_多供应商版_新增网址.xlsx,,
11,弹力提花Polo面料,,针织,,89%聚酯11%氨纶,89.0,,11.0,,,,210.0,,,,,,,春;夏;秋,,弹力,,,,面料推荐档案\家纺\3S-AVVA_针织面料报价单_多供应商版_新增网址.xlsx,,
12,三扣Polo面料,,针织,,62%棉38%涤,,62.0,,,涤 38.0%,,190.0,,,,,,,春;夏,,透气,,,,面料推荐档案\家纺\3S-AVVA_针织面料报价单_多供应商版_新增网址.xlsx,,
13,弹力提花针织面料,,针织,,88%涤纶12%氨纶,88.0,,12.0,,,,190.0,,,,,,,春;夏,,弹力;透气,,,,面料推荐档案\家纺\3S-AVVA_针织面料报价单_多供应商版_新增网址.xlsx,,
